Number,R,G,B,Type,Comments,Name,EffectType
DB0001,51,51,59,,multi,Gunmetal ,Metallic
DB0002,30,37,47,,multi,Metallic Dark Blue AB ,MetallicAB
DB0003,41,43,40,,multi,Metallic Forest Green AB ,MetallicAB
DB0004,37,37,39,,multi,Metallic Dark Plum AB ,MetallicAB
DB0005,44,53,62,,multi,Metallic Variegated Blue AB ,MetallicAB
DB0006,55,62,68,,multi,Gunmetal AB ,AB
DB0007,51,40,34,,multi,Metallic Brown AB ,MetallicAB
DB0010,23,23,23,,,Black ,
DB0011,60,57,38,,,Metallic Olive ,Metallic
DB0012,67,38,40,,,Metallic Dark Raspberry ,Metallic
DB0021,100,92,89,,,Nickel Plated ,Galvanized
DB0022,75,57,47,,,Metallic Dark Bronze ,Metallic
DB0023,74,61,55,,multi,Metallic Gold AB ,MetallicAB
DB0024,80,82,61,,multi,Metallic Olive Green AB ,MetallicAB
DB0025,41,55,66,,multi,Metallic Blue AB ,MetallicAB
DB0026,67,66,64,,multi,Metallic Steel AB ,MetallicAB
DB0027,57,68,62,,multi,Metallic Dark Green AB ,MetallicAB
DB0029,97,84,68,,multi,Metallic Golden Olive AB ,MetallicAB
DB0031,181,135,75,,,24d Gold Plated ,Galvanized
DB0033,169,120,64,,,24kt Gold Lined Crystal ,LinedCrystal
DB0034,149,119,83,,,24kt Gold Light Plated ,
DB0035,161,152,135,,,Galvanized Silver ,Galvanized
DB0037,131,97,87,,,Copper Lined Crystal ,LinedCrystal
DB0038,122,116,116,,,Palladium Plated ,Galvanized
DB0040,133,89,76,,,Copper Plated ,Galvanized
DB0041,147,141,141,,,Silver Lined Crystal ,SilverLinedCrystal
DB0042,178,128,69,,,Silver Lined Gold ,SilverLined
DB0043,172,46,24,,,Silver Lined Flame Red ,SilverLined
DB0044,88,136,158,,,Silver Lined Aqua ,SilverLined
DB0045,194,96,21,,,Silver Lined Orange ,SilverLined
DB0046,50,99,52,,,Silver Lined Green ,SilverLined
DB0047,47,45,118,,,Silver Lined Cobalt ,SilverLined
DB0048,87,86,84,,,Silver Lined Light Grey ,SilverLined
DB0050,153,153,165,,,Crystal Luster ,LusterCrystal
DB0051,225,226,231,,,Crystal AB ,ABCrystal
DB0052,237,218,203,,,Pale Peach Lined Crystal AB ,ABLinedCrystal
DB0053,242,212,126,,,Light Yellow Lined Crystal AB ,ABLinedCrystal
DB0054,191,126,106,,,Dark Peach Lined Crystal AB ,ABLinedCrystal
DB0055,235,212,228,,,Pink Lined Crystal AB ,ABLinedCrystal
DB0056,108,73,105,,glossy/ multi,Raspberry Lined Crystal AB ,ABLinedCrystal
DB0057,73,161,197,,,Aqua Lined Crystal AB ,ABLinedCrystal
DB0058,66,108,132,,glossy/ multi,Marine Blue Lined Crystal AB ,ABLinedCrystal
DB0059,80,78,99,,glossy/ multi,Amethyst Lined Crystal AB ,ABLinedCrystal
DB0060,72,115,106,,glossy/ multi,Lime Lined Crystal AB ,ABLinedCrystal
DB0061,74,52,54,,glossy/ multi,Purple Lined Light Topaz Luster ,LinedLuster
DB0062,146,44,57,,glossy/ multi,Light Cranberry Lined Topaz Luster ,LinedLuster
DB0063,57,66,157,,glossy/ multi,Cobalt Lined Sapphire AB ,ABLined
DB0064,102,91,85,,glossy/ multi,Taupe Lined Crystal AB ,ABLinedCrystal
DB0065,134,84,33,,,Lined Topaz AB ,ABLined
DB0066,222,221,216,,,White Lined Crystal AB ,ABLinedCrystal
DB0067,215,146,117,,,Light Peach Lined Crystal Luster ,LinedLusterCrystal
DB0068,216,129,109,,,Peach Lined Crystal Luster ,LinedLusterCrystal
DB0069,160,121,104,,,Blush Lined Crystal AB ,ABLinedCrystal
DB0070,214,109,116,,,Coral Lined Crystal Luster ,LinedLusterCrystal
DB0071,227,211,224,,,Transparent Pink AB ,ABTransparent
DB0072,179,109,146,,,Orchid Lined Crystal Luster ,LinedLusterCrystal
DB0073,128,60,133,,,Magenta Lined Crystal AB ,ABLinedCrystal
DB0074,151,55,116,,,Fuchsia Lined Crystal AB ,ABLinedCrystal
DB0075,203,69,93,,,Dark Coral Lined Crystal AB ,ABLinedCrystal
DB0076,54,142,206,,,Light Blue Lined Crystal AB ,ABLinedCrystal
DB0077,49,102,170,,,Blue Lined Crystal AB ,ABLinedCrystal
DB0078,150,200,211,,,Aqua Mist Lined Crystal Luster ,LinedLusterCrystal
DB0079,62,147,152,,,Turquoise Green Lined Crystal AB ,ABLinedCrystal
DB0080,157,152,174,,,Pale Violet Lined Crystal Luster ,LinedLusterCrystal
DB0081,93,98,102,,,Grey Lined Crystal AB ,ABLinedCrystal
DB0082,228,222,226,,,Transparent Pale Pink AB ,ABTransparent
DB0083,179,216,225,,,Transparent Pale Aqua AB ,ABTransparent
DB0084,100,124,128,,glossy/ multi,Sea Foam Lined Crystal AB ,ABLinedCrystal
DB0085,59,78,93,,glossy/ multi,Blue Lined Aqua AB ,ABLined
DB0086,66,73,91,,glossy/ multi,Noir Lined Crystal AB ,ABLinedCrystal
DB0087,81,68,62,,glossy/ multi,Root Beer Lined Light Topaz AB ,ABLined
DB0088,121,76,70,,glossy/ multi,Berry Lined Light Topaz AB ,ABLined
DB0089,82,82,74,,glossy/ multi,Blue Lined Light Topaz AB ,ABLined
DB0098,193,53,62,,,Transparent Light Siam Luster ,TransparentLuster
DB0099,199,139,87,,,Transparent Light Topaz Luster ,TransparentLuster
DB0100,195,135,83,,,Transparent Light Topaz AB ,ABTransparent
DB0101,179,125,89,,,Light Smoky Topaz Gold Luster ,Luster
DB0102,122,84,61,,,Peach Topaz Gold Luster ,Luster
DB0103,106,64,65,,glossy/ multi,Dark Topaz Rainbow Gold Luster ,Luster
DB0104,76,53,59,,glossy/ multi,Claret Rainbow Gold Luster ,Luster
DB0105,75,36,39,,glossy/ multi,Garnet Gold Luster ,Luster
DB0106,212,133,128,,,Shell Pink Luster ,Luster
DB0107,117,115,116,,glossy/ multi,Transparent Grey Rainbow Gold Luster ,TransparentLuster
DB0108,98,64,65,,,Cinnamon Gold Luster ,Luster
DB0109,225,210,179,,,Crystal Ivory Gold Luster ,LusterCrystal
DB0110,136,150,161,,,Transparent Light Marine Blue Gold Luster ,TransparentLuster
DB0111,84,93,102,,glossy/ multi,Transparent Blue Grey Rainbow Gold Luster ,TransparentLuster
DB0112,70,111,113,,,Transparent Sea Foam Luster ,TransparentLuster
DB0113,38,102,148,,,Transparent Blue Luster ,TransparentLuster
DB0114,128,127,125,,,Transparent Silver Grey Gold Luster ,TransparentLuster
DB0115,108,74,49,,,Dark Topaz Gold Luster ,Luster
DB0116,96,40,39,,,Wine Gold Luster ,Luster
DB0117,82,59,69,,,Violet Gold Luster ,Luster
DB0118,131,82,41,,,Transparent Saffron Luster ,TransparentLuster
DB0119,138,79,35,,,Transparent Honey Luster ,TransparentLuster
DB0120,89,42,48,,,Dark Topaz Claret Luster ,Luster
DB0121,112,73,44,,,Apricot Topaz Gold Luster ,Luster
